id,title,author,text,label
19796,"Marco Rubio: President Trump Will Empower the People of Cuba, Not Communist Leaders - Breitbart",Charlie Spiering,"Florida Senator Marco Rubio praised Donald Trump for empowering the Cuban people by reversing some of0 former President Barack Obama’s diplomatic concessions with the Castro brothers. [“More than anything else this change empowers the people of Cuba   …     America is prepared to outstretch its hand and work with the people of Cuba, but we will not empower their oppressors,” Rubio said during an event in Florida to highlight Trump’s policy changes with Cuba.  Rubio joined Trump for an event in Florida to highlight Trump’s policy changes with Cuba, at a packed room at the Manuel Artime Theater in Miami. “Less than a year and half ago, an American president landed in Havana, to outstretch his hand to a regime,” he said. “Today, a new president lands in Miami to reach out his hand to the people of Cuba. ” Rubio told the people gathered for the event that since Trump was elected, he repeatedly asked him how he could help the people of Cuba. “He has not faltered in that committment,” Rubio said. Trump was also gracious while discussing his former campaign rival for the Republican presidential nomination, calling him a “tough competitor. ” “He is tough! Man! He is tough and he is good!” Trump said.",0
19797,"Verboten! Don’t speak German on the streets of post-Brexit Britain, warns lawyer",admin,"Verboten! Don’t speak German on the streets of post-Brexit Britain, warns lawyer Verboten! Don’t 1speak German on the streets of post-Brexit Britain, warns lawyer By 0 108 
Germans living in Britain have been cautioned against speaking their native language in public places after the Brexit vote set hate crimes soaring. 
Speaking to the German newspaper Die Welt, lawyer Carmen Prem thought it was best to not speak “too loudly” when out and about. 
Read more 
“The tone has changed,” said the mother-of-two who has been living in London for 13 years. “No Briton would ever say ‘we do not want you here.’ But it is now ‘we and you.’” 
She also recounted how on the bus home she had recently heard the driver tell passengers to “kindly speak English.” 
In the piece, other Germans tell of “stronger xenophobia” in the country since the referendum in June. 
There is a “new bitterness, an anger which hardly any of the countless non-British on the island expected,” it adds. 
Race and religious crimes saw a 41 percent rise in the month after the Brexit vote. Nearly 5,500 incidents were recorded by the Home Office in July alone. 
The overall hate crime rate was also up 19 percent on last year. Four out of five of the crimes reported were motivated by race hatred, seven percent by religion. 
King’s College London professor Mischa Dohler told Die Welt he was now considering moving abroad. 
The German academic claimed he had been offered several jobs, including an opportunity at Cambridge, but had to turn them down as he does not know what will follow the Brexit negotiations. 
“Many non-British academics simply see no future here,” he said. Abuse & insecurities 
Worries among German citizens come after a Spanish man was knocked down by a passerby with a wooden plank in Bournemouth earlier this month. 
The man was reportedly speaking to his girlfriend in his native language when the thug approached him shouting “f***ing Spanish, speak in English” before hitting him with a piece of wood grabbed from a nearby building. 
READ MORE: French nationals suffer post-Brexit abuse, claims ambassador 
The French were also reportedly reconsidering their future in Britain after being subjected to “negative or aggressive language” following the UK’s decision to leave the European Union. Up to 300,000 French nationals are currently registered as living in the country. 
Via RT . This piece was reprinted by RINF Alternative News with permission or license.",1
19798,Thieves Steal Bees that Pollinate Central Valley Almonds,Chriss W. Street,"Hundreds of bee hives worth over a half million dollar0s shipped to California’s Central Valley for the annual almond tree pollination were stolen on January 17, the Los Angeles Times reports. [Montana beekeeper Lloyd Cunniff, owner of Beeline Honey Co. shipped 488 bee hives to Sutter County in   to service his almond grower pollination contracts. But after tending his bees in a grove near Meridian on Monday, he returned Tuesday morning to find his $542, 000 of hives missing.  Bee pollination is not only important to rural agricultural communities throughout the Central Valley it also provides a global economic benefit of about $290 billion in 2015. There are an estimated 115, 000  —   125, 000 beekeepers in the United States. Although the vast majority of beekeepers are hobbyists with fewer than 25 hives, there are a few thousand commercial operators with 300 or more beehives. The 2. 6 million domestic honey bee colonies in the U. S. produced 149 million pounds of honey in 2013. With a wholesale price of about $2. 12 a pound, the crop was worth about $317 million. California was the fifth largest American producer with 10. 9 million pounds, worth $22. 9 million, according to the National Honey Board. Because millions of acres of U. S. fruit, nut, vegetable, oilseed and legume seed crops worth about $19 billion depend on bees, commercial operators are paid by growers to migrate their colonies each year to provide pollination services. But with demand drastically outstripping California’s local supply, Beeline travels 900 miles from Choteau, Montana each year to service contracts around the Sacramento area. According to government U. S. agricultural data, the cost of renting honey bee hives for almond pollination has vaulted for about $50 per hive in 2003, to $ $200 per hive today. It now takes more than a million bee colonies to service California’s annual crop. After 500 hives were stolen last year, the California State Beekeepers Assn. issued an advisory to beekeepers across the state to beware of an “unprecedented” rise in beehive thefts.",0
19799,"‘Gaps of Trust’ With Russia Bar a Syrian Truce, Obama Says - The New York Times",Mark Landler,"VIENTIANE, Laos  —   The Obama administration’s latest effort to broker a   in Syria�0�s civil war fell short on Monday, after a   meeting between President Obama and President Vladimir V. Putin of Russia failed to resolve problems between them. “Given the gaps of trust that exist, that’s a tough negotiation, and we haven’t yet closed the gaps in a way where we think it would actually work,” Mr. Obama declared at a news conference at the end of a Group of 20 summit meeting in Hangzhou, China. He did not describe the points of contention. Other officials have said they involve technical issues like how to staff checkpoints in combat areas. But the checkered history of Syrian    —   the United States agreed to one with Russia in February, only to watch it unravel weeks later  —   has left the president deeply leery. On a day of diplomacy and history, Mr. Obama later flew to Laos, becoming the first sitting American president to visit this country, where children still stumble over unexploded bombs dropped by the United States during the Vietnam War. Having failed to halt the guns in Syria, Mr. Obama will seek reconciliation with the victims of a war long over. He insisted he was not giving up on Syria, however. Mr. Obama said he had instructed Secretary of State John Kerry to continue negotiating with the Russians this week to see if a deal on Syria was possible. The goals would be to halt the rain of bombs on Aleppo and to give breathing space to a United   effort to find a political end to Syria’s war between the forces of President Bashar   which are backed by Russia, and an array of insurgents seeking to depose him. “The faster we can offer some relief to folks on ground,” Mr. Obama said, “the better off we’re going to be. ” At his own news conference in Hangzhou, Mr. Putin said the Syria talks were on the “right track,” though he declined to discuss details of a deal. He expressed hope that an agreement could be reached “in the next few days,” despite earlier disagreements. “Then we can say that our joint work with the United States in the fight against terrorist organizations, including along the Syrian track, will be significantly improved and intensified,” Mr. Putin said. Mr. Obama’s appearance was his last at the Group of 20, a gathering of industrialized nations that is supposed to focus on economic issues but often finds those matters eclipsed by war and terrorism. He reminisced about his first meeting, in 2009, when the world was still reeling from the financial crisis. This time, the meeting dramatized both his   status and the changed world that his successor will inherit. On Sunday, during a photograph session with the other leaders, Mr. Putin and President Recep Tayyip Erdogan of Turkey huddled with each other. A curious Mr. Obama peered at them from the other side of the room. Tensions between Russia and Turkey have escalated over Syria, but the two countries’ leaders have begun talking more in recent weeks, just as Turkey’s ties with the United States have frayed. Mr. Obama had a rough welcome in Hangzhou on Saturday, when a dispute over the stairs he would use to exit Air Force One left him disembarking from a door in the belly of the plane. Some China experts interpreted it as a snub of a departing leader by a rising power. On his departure, however, the Chinese arranged for a shiny set of stairs with a strip of blue lights beneath the railing to be rolled up to the plane. Mr. Obama remains a central figure in conversations on a variety of issues, including Iran and international economics. But there was a palpable sense on his Asia trip that the world was awaiting a new president to reassess American policies in Syria, Ukraine and North Korea. On Syria, Mr. Obama left the diplomatic heavy lifting to Mr. Kerry, who met twice in Hangzhou with the Russian foreign minister, Sergey V. Lavrov. On Sunday, the Americans were confident enough of success that they scheduled a briefing to announce a   agreement, erecting two lecterns for the secretary of state and foreign minister. Soon afterward, State Department officials hastily removed one, and Mr. Kerry turned up alone to report that the United States and Russia had been unable to move past a handful of “tough issues. ” The talks continued, though, with the Russians appearing more eager than the Americans to elevate them to the presidential level. Mr. Obama has been openly skeptical of the likelihood of a durable deal involving the Russians. After the meeting with Mr. Putin, it was clear his suspicions had not been dispelled. He recalled the failure of the previous deal that the United States had made with Russia. “Slowly, it unwound, and we’re back into a situation in which Assad’s regime is bombing with impunity,” he said. “That is a very dangerous dynamic. ” As he often does, Mr. Obama characterized his exchange with Mr. Putin as blunt and businesslike. There was no shortage of thorny subjects. The president said they had discussed computer security, though he declined to say whether he had brought up allegations that Russia breached the computer systems of the Democratic National Committee. “We’ve had trouble with cyber intrusions from Russia in the past,” he said. “We’re moving into a new era. ” Mr. Obama is also hoping to turn the page in Laos. The ostensible reason for the visit is two regional conferences that will give him a chance to promote his strategy of pivoting to Asia: the Association of Southeast Asian Nations and the East Asia Summit. But Laos has other resonance for Mr. Obama, who has made a vocation, from Cuba to Myanmar, of opening ties to closed societies. The United States and Laos have a difficult relationship that dates to the C. I. A. ’s undeclared war in the 1960s and ’70s, when American warplanes dropped 270 million bombs on this country, many of which are still buried in fields and forests. Mr. Obama, administration officials said, would pledge millions of dollars in additional funding to help clear unexploded ordnance from the Laotian countryside. “Since Laos is still a relatively poor country that is developing, their capacity alone to clean that up is hampered by lack of resources,” he said. “We should help. ” First, though, the president canceled a meeting scheduled for Tuesday with the leader of the Philippines, an American ally in Southeast Asia. Earlier in the day, the new Philippine president, Rodrigo Duterte, delivered a   diatribe against Mr. Obama, calling him, among other things, a “son of a bitch. ” Mr. Duterte threatened to do so again face to face if the president challenged his inflammatory words or his unorthodox tactics in his country’s drug war. Mr. Obama has yet to meet Mr. Duterte, and the timing would have been important: The Philippines is in the midst of a dangerous    with China over disputed islands in the South China Sea. Still, Mr. Obama questioned the wisdom of putting Mr. Duterte and himself in a room together. “I always want to make sure if I’m having a meeting that it’s actually productive,” he said. “Clearly, he’s a colorful guy,” Mr. Obama added.",0
19800,"Clinton, FBIGate and the true depth of the ObamaGeddon",nan,"Clinton, FBIGate and the true depth of the ObamaGeddon 1 31.10.2016 Ladies and Gentlemen, we have a problem. Just over one week before the Mother of All Elections, we have information which shocks us to the core, freezes our hearts and sends chills shuddering through our spines. Ladies and Gentlemen, the problem is not FBIGate, it is the mechanisms behind the scenes which have not been reported. Read on. First off, how many times has President Obama blocked investigation into Hillary Clinton's affairs? You will never know. You will never, ever know because the system is rigged, there is no paper trail. There are telephone calls, there are meetings behind closed doors, there are threats. This time however, Obama was caught by surprise. The Nobel Peace Prizewinner, the one who insulted the Nobel Institution, the international community and all those who believed in his shitfaced lie ""Change"", the one who blasted Libya from the African country with the highest human development index back to the stone age, riddled with terrorists, including Islamic State, the one who stood back as Islamic State appeared under his nose... this one this time was unable to stop an FBI investigation because it happened behind his back. Trying to get at the truth Print version Font Size Ladies and Gentlemen, this truth will not come out in the next few days. For those with their political knives a-glistening and a-gleaming behind Hillary's back, waiting for some knock-out soundbites from those documents, it is not going to happen. Not because the FBI investigation failed to unveil juicy stuff, but because that juicy stuff will never reach the public domain. ObamaGeddon to the rescue, FBIGate quashed. And while FBIGate is quashed, watch what happens behind the scenes with the electoral system. George Soros is firmly in the Clinton camp, so they say. Does anyone know how many States use electronic voting systems run by George Soros? Does anyone know how easy it is to hack or rig these voting machines? These machines churn out votes. There is no accountability, there is no paper trail, the vote will not be verified. There will be numbers, statistics the day after, rigged. This is American democracy? The collective answer is no, the collective response is we all know this is true, we all know this is happening. Nobody likes Hillary, nobody trusts Hillary. So why vote for her? Investigating FBIGate Now let's see what my friend Nancy O'Brien Simpson turned up. She lives in the United States of America, she is a political commentator and she is a political activist: Secretary Clinton fell for the oldest hack in the book. This hack entails something called the ""Buffer Overflow Exploit"" that involves ""stacking"" a malicious computer virus in an area on your hard drive where virus protection software can't find them. Then it steals the files from the hard drive. A friend of mine who has been on the wrong side of these kinds of situations explained what he has read about how it all went down- Huma and Anthony are sharing a laptop at their home. Huma receives classified information from her boss, Hillary Clinton, in various e-mails and texts. She testified to the F.B.I. that she often emailed classified files over her unsecured Yahoo account in order to print them out at home on the laptop she shared with her husband Antony. When Huma goes to bed, Carlos Danger sneaks out in his pajammies and prowls 4chan all night looking for young teen girls to send them naked photos. One of these photos contains a computer virus that infects the laptop. This virus hides in photographs stored on a computer's hard drive by exploiting a photo's bandwidth. When the recipient receives photos in return, the photos contain information from the computer it has infested. The ironic part is every time Carlos Danger send photos of his ""wiener"" his nasty photos contained ALL the emails his wife received from Hillary as well as the classified documents she printed out.. This means some hackers out there on the net has EVERYTHING Huma brought home.. If the hackers are ""White Hat"" they probably told the F.B.I. to examine every one of Carlos Danger's nasty photos he sent over that laptop. If the hackers are ""Black Hats"" you can bet some foreign government has a lot of classified documents. The Clinton Crime Family will blame the Russians, which is laughable and serious at the same time.. You know they reopened the investigation BEHIND Obama's back because he has blocked the investigation of her at every turn. I heard the rank and file FBI were about to mutiny because they know she is guilty as sin and Comey would not prosecute because she is protected by Obama AND Clinton gave his wife half a million for her political campaign. This might be big, but Obama will stop it to protect her and his globalist masters. I rest my case. Nancy O'Brien Simpson Ms. Simpson was a radio personality in New York. She was a staff writer for The Liberty Report. A PBS documentary was done on her activism for human rights. She is a psychotherapist and political commentator.",1
19801,"Head of Turkish delegation to Russia: ""The Crimean people's choice must be recognized""",Jafe Arnoldski (noreply@blogger.com),"November 21, 2016 - Fort Russ News -  PolitRussia - translated by J. Arnoldski -  


The head of the Turkish Association of Eurasian Governments and confidant of the deputy head of Turkey’s General Security Directorate, Hasan Cengiz, has called for the choice of the Crimean people expressed in the referendum in 2014 to be recognized. 
Cengiz is the head of a delegation of Turkish politicians and business circle representatives that arrived in Simferopol from Moscow on Wednesday evening. The delegation includes 22 people, including a representative of the Turkish president, a participant in meetings between the Russian and Turkish presidents, Ibrahim Ereli, and the vice mayor of Ankara, Ahmet Tunc. 

Cengiz stated during a meeting with Crimean parliamentarians in Simferopol: “Crimea is home to around 2.5 million people. And the will of the people of Crimea led to Crimea reunifying with Russia. A very high percentage of voters in the referendum supported this. The people’s choice must be respected.”  



     Follow us on Facebook!                                                   
                                                   

       Follow us on Twitter! 
                               

             Donate! 
",1
19802,Toxic chemicals found in children’s Halloween makeup – study,RT,"Toxic chemicals found in children’s Halloween makeup �1� study Published time: 26 Oct, 2016 23:45 Get short URL © Carlo Allegri / Reuters Halloween is supposed to make your skin crawl, but not like this. A new study finds the scariest part of the holiday may not be the costumes, but makeup for kids. Out of 48 makeup palettes, almost half contained toxic heavy metals. 
Nearly 20 percent of makeup palettes contain lead and cadmium, according to the newly published study by the Breast Cancer Fund. The study found that some products contained as many as four metals, including arsenic and chromium. Indiana housing complex to be razed after toxic lead levels detected https://t.co/qZy4gfTmnC pic.twitter.com/5bGsRti1Im — RT America (@RT_America) August 31, 2016 
Nine of the palettes were found to contain lead, a chemical that is unsafe at any level, for children particularly. Parents may have purchased and applied these products to their children unwittingly, as the makeup doesn’t have to list ingredients on their labels. 
The BCF may have been among the first to test the palettes, as the FDA does not regulate this particular product. 
"" The FDA that regulates makeup does not have the power to require pre-market testing ,"" Jen Coleman with the Oregon Environmental Council told KGW. 
The cosmetic safety law enacted 75 years ago does not require testing even for products marketed to children. While the FDA cannot do anything about the problem, they have issued guidelines to avoiding “ a rash, swollen eyelids, or other reaction ” this Halloween. 
The guidelines make no mention of potential heavy metal poisoning, but they do offer advice like “ Follow all directions carefully ,” and “ Don't decorate your face with things that aren't intended for your skin. ” 
What’s a parent to do in the meantime? Other than use all-natural makeup, the best option is to avoid dark pigments. The BCF study found a correlation between the darkness of the color and the lead content. The darker the color, the more lead it was found to contain.",1
19803,,Joseph Olson,&quot;Virginia Roberts Affidavit&quot; a teen diary of Randy Prince Andy and Alan Dirtbag0witz at Orgy Island.  This AD report is consistent with Veterans Today on the ruling Demonic Warlords kiddy diddling ring.  BTW....lawyer for Jeffrey Epstein is Ken Starr....,1
19804,GaiaPortal – Serrated torches cleave the undesired,Madeline,"Click Here To Learn More About Alexandra's Personalized Essences Psychic Protection Click Here for More Information on Psychic Protection1! Implant Removal Series Click here to listen to the IRP and SA/DNA Process Read The Testimonials Click Here To Read What Others Are Experiencing! Copyright © 2012 by Galactic Connection. All Rights Reserved. 
Excerpts may be used, provided that full and clear credit is given to Alexandra Meadors and www.galacticconnection.com with appropriate and specific direction to the original content. Unauthorized use and/or duplication of any material on this website without express and written permission from its author and owner is strictly prohibited. Thank you. 
Privacy Policy 
By subscribing to GalacticConnection.com you acknowledge that your name and e-mail address will be added to our database. As with all other personal information, only working affiliates of GalacticConnection.com have access to this data. We do not give GalacticConnection.com addresses to outside companies, nor will we ever rent or sell your email address. Any e-mail you send to GalacticConnection.com is completely confidential. Therefore, we will not add your name to our e-mail list without your permission. Continue reading... Galactic Connection 2016 | Design & Development by AA at Superluminal Systems Sign Up forOur Newsletter 
Join our newsletter to receive exclusive updates, interviews, discounts, and more. Join Us!",1
19805,Will There Be Riots In America The Day After Donald Trump Wins The Presidency?,Relampago Furioso,"The above photo was snapped in Ferguson as thugs burned the city down. Could we see a repeat of that fateful event and perhaps a worsening of 1it soon to a city near you?
The election is the focus of every news channel ad nauseum. But few people are focused on the day after the election. No matter who wins this year’s presidential “selection” the possibility of civil unrest the day after election day and beyond is a real possibility. Are you ready for chaos if it develops?
The nation is so divided we are likely to run into problems.
The ugliest scenario for the day after election day plays out if Trump wins. If Trump wins, get ready for Black Lives Matter, the Black Panthers, The Race (La Raza) and other racially motivated anti-white groups to come out and possibly start burning cities down again. After all, they have been given carte blanche all year long to do so in Ferguson, Baltimore, Charlotte, and San Jose . A worrisome precedent has been set.
Of course, Trump won’t be in power the day after election day (we have to wait until Inauguration Day for him to clean up any potential messes) so Barack Hussein Obama is likely to give the racial hate groups the green light once again while the media whips out their collective Stradivarius, plays my heart bleeds for thee, and sympathizes with the devils destroying the nation.
If The Bitch wins conservative groups may clash with leftists over rights being stripped away
If Hillary wins, there’s the real possibility of protests the day after the election, and the social conditioning of whites to be polite and docile even as they’re railroaded in what was formerly their nation may not hold this time around. A Hillary win means the chaos and possibly violence could wait until she starts stripping constitutional rights away. Then, we are likely to see conservatives finally come out and start raising some righteous hell. There could be racially motivated clashes on the horizon as white people standing up for themselves goes against a long-established narrative that they’re all evil racists.
Few people think of the effects civil unrest could have on their livelihood and well-being. It’s time for a little education on just how thinly stretched the American supply chain is, and what could happen with only a short-term disruption in it.
Here’s a scenario – just one of many possible scenarios. Video of rioters stopping and then looting a semi tractor-trailer in Charlotte is worrying because if trucks stop, America stops. If attacks on truckers happen often enough, truckers may decide it’s not worth the risk to their lives to continue moving freight around and stop driving. Within a day, bedlam could ensue as the supply chain runs on a razor’s edge in modern America and everything from food to medication to gasoline starts running out.
Supply Chain Rioters broke into trucks on I-85 and burned cargo in Charlotte
According to the American Trucking Association (ATA) a disruption of 24 to 48 hours means hospitals and nursing homes would run out of food. Fuel supplies at gas stations would also run out in that time frame. Garbage would start to pile up. Most grocery and retail stores would start to run out of food and merchandise. ATM and bank cash supplies would also run out.
The tight rope the corporate system walks quickly breaks when merchandise stops moving.
As an example, the ATA tells us this is what happens during a hurricane. Imagine what would happen with days or weeks of rioting in major cities.
In a hurricane situation, supplies that would normally last a few days, such as water, powdered milk, and canned meat, typically disappear within one day. Given these inventory rates, this means that perishable goods could be depleted in a matter of days and non-perishables in just a few days. Runs on food and non-food staples during hurricanes, and even before big winter storms, provide a good example of how fast some retail inventories can be depleted during panic buying. The same quick depletion of inventories could occur if trucks stopped making deliveries for any reason.
Panic buying means no food on the shelves. When people don’t have food at home and then the grocery store doesn’t have food, rioting will intensify. Things could get ugly in a hurry as one small disruption leads to a domino effect, after which Bedlam ensues.
So, it is best to be prepared with non-perishable items just in case things get out of hand. Have at least several weeks food supply on hand. But, how do you stop people from coming and taking your stash?
Be Armed The police won’t be around to protect you if Bedlam ensues
Contrary to gun propaganda from the media , you absolutely want to be armed in the event the election and its aftermath don’t pass peacefully. What happens when stores no longer have food and gas stations no longer have gas? Gangs form looking for homes that do have those items.
They’re going to pick out the weakest home in the neighborhood and pounce.
A home with guns is a safe home. Just as this YouTube video shows , armed thugs may bust into a house looking for money or food, but they started jumping through plate glass windows and scrambling like cockroaches once the homeowner came out with guns blazing.
Several handguns with extra ammunition are advised. Know how to use them. Be steady with the trigger. And don’t be afraid to use them if looters come to your house.
The police will NOT be there to protect you as they’ll have their hands full with the chaos.
Better To Be Safe Than Sorry The idea of an intact nuclear family may be a trite memory, but protecting your loved ones is still key
With the meltdown of America happening right before our very eyes, we are entering an unstable period in the nation’s history, to say the least. No matter who wins the election the nation we once knew and loved is passing away. Trump may be able to turn things around temporarily, but even if he does the country now has so many immigrants it will be impossible to assimilate them all.
We are entering a period in which America will resemble a third world country more and more. The demographics of the nation are being changed on purpose so white people are diminished at the ballot box and Democrats will gain a lock grip on the levers of power in the nation in the coming years . Divisions between rich and poor will grow, and the evil media will be there stirring the pot with racial, class, and gender division every step of the way . Peace will become a thing of the past as squabbling factions compete with each other for dominance.
In this transition from prosperity to despotism, it is best to be safe than sorry. The day after election day will be telling in that it will set the tone for the next four years. It may be a somewhat peaceful turn towards Communism if The Bitch wins, or it may not be.
But my money is on a steady degradation of civil society in the coming years. Tend your own garden, as I know I will be tending my own. My military friends are already discussing what will happen in SHTF scenario. You should be thinking about it, too.
Read More: Has The Theft Of The 2016 Presidential Election Already Begun? 
",1
