id,title,author,text,label
310,Courts Disagree Over Michigan Vote Recount - The New York Times,Monica Davey,"Dueling court rulings left the fate of a presidential vote recount in Michigan uncertain on Tuesday night, and elections officials in the state said they were “seeking clarity about the next steps. ” A recount of last month’s election had already begun in parts of Michigan, one of three closely contested states where Jill Stein, the Green Party’s presidential nominee, had called for new counts, when the seemingly conflicting legal decisions emerged late Tuesday from state and federal courts in Michigan. Ms. Stein has cited concerns about computer hacking and the reliability of voting machines, setting off legal fights with lawyers for   Donald J. Trump, his campaign and his allies, who view the recounts as a needless and expensive tactic. A panel of the Michigan Court of Appeals found that Ms. Stein, who finished a distant fourth to Mr. Trump in the election, had not met the state’s requirements for a recount because she had no chance of winning. The panel concluded that the Michigan Board of State Canvassers ought not to have permitted a recount to go forward because Ms. Stein, given the size of the vote for her, could not be deemed “aggrieved,” as required for a recount under state election law. Yet in a separate decision, also announced late Tuesday, a federal appeals court turned down requests from the state’s Republican Party and from Bill Schuette, the state’s attorney general, to block a federal court ruling that had cleared the way for the recount to proceed more swiftly than expected. The United States Court of Appeals for the Sixth Circuit found that Mark A. Goldsmith, a Federal District Court judge, had not violated his discretion when he ordered the recount to go forward on Monday in order to get it done by Electoral College deadlines in  . Even as the recount has proceeded in conference halls and fairgrounds around the state, the legal fight has been fierce. By late Tuesday, even some officials leading the   recounts seemed puzzled about what the latest court rulings would mean for counting the rest of the ballots. In at least one county, Ingham, Barb Byrum, the county clerk, said her workers were finished with their count. In Pennsylvania, another of the states where Ms. Stein has pressed for a recount, lawyers for Ms. Stein went to federal court on Monday to ask a judge to order a recount on constitutional grounds. Republicans are countering the petition, and a decision is pending. And in Wisconsin, a recount was in its sixth day and proceeding as scheduled, with little change in the statewide results as they were reported on election night. A lawsuit seeking to halt the recount, filed late last week by two “super PACs” supporting Mr. Trump and by a private citizen, is still pending a judge has scheduled a hearing for Friday.",0
311,Bernie Sanders’s Feud With the Democratic Leadership Heats Up - The New York Times,Yamiche Alcindor,"Doubling down on his feud with the Democratic Party leadership, Senator Bernie Sanders said that if elected president, he will not reappoint Democratic National Committee chairwoman, Representative Debbie Wasserman Schultz of Florida. He made the comments during an interview with CNN’s Jake Tapper that is set to air on Sunday. Mr. Sanders also said he was supporting Tim Canova, a law professor who has begun an insurgent campaign against Ms. Wasserman Schultz for her South Florida congressional seat. They will face off in a primary this summer. “Well, clearly, I favor her opponent,” Mr. Sanders told Mr. Tapper. “His views are much closer to mine. ” For months, Mr. Sanders has accused the party of favoring Hillary Clinton, often calling her the “anointed candidate. ” He has criticized the party for a debate schedule that his campaign says favors Mrs. Clinton an arrangement under which Mrs. Clinton raises money for the party and the appointment of Clinton supporters as leaders of important convention committees. Most recently, he and the party have sparred over what happened at the Nevada Democratic convention a week ago. There, Sanders supporters disrupted the proceedings in a fight over delegates and the state party chairwoman was later threatened. After the party rebuked Mr. Sanders for not clearly condemning what had occurred, his campaign manager, Jeff Weaver, accused Ms. Wasserman Schultz of “throwing shade on the Sanders campaign from the very beginning. ” This week, Ms. Wasserman Schultz pushed back against the Sanders campaign in an interview with CNN. “We’ve had the same rules in place that elected Barack Obama,” she told the network. “These rules were adopted for state parties all across the country in 2014. ” In a statement on Saturday, she said that “even though Senator Sanders has endorsed my opponent, I remain, as I have been from the beginning, neutral in the presidential Democratic primary. ” As president, Mr. Sanders would have the ability to appoint the committee chair, though it is not likely he will get that chance, as Mrs. Clinton is close to clinching the nomination. Nevertheless, he can try to draw a little blood from Ms. Wasserman Schultz with his endorsement of her primary opponent, Mr. Canova, the underdog in the race. Mr. Canova, a Nova Southeastern University law professor, has echoed Mr. Sanders’s messages about the need to combat economic inequalities and reform campaign finance. He has also mirrored, on a small scale, Mr. Sanders’s   model by raising more than $1 million through small donations that have averaged about $19 each. “I’m so proud to know that Bernie Sanders favors our progressive campaign,” Mr. Canova said in a statement on Saturday. “Like Senator Sanders, I’m running a campaign that’s truly backed by the people, not big corporations  —   one that stands up to Wall Street interests instead of cozying up to them. ” Mr. Sanders spent Saturday campaigning across the Western states. At a rally in Vado, N. M. he offered a series of familiar attacks against Mrs. Clinton, criticizing her use of “super PACs,” her stances on trade agreements and her support of fracking. He also talked about the need to improve the poverty and high school graduation rates in the state. Mr. Sanders then went to California, where he planned to hold an evening rally in National City and where he visited International Friendship Park, an area on the United States border with Mexico. There, he walked along two large walls separating the countries with an immigration activist and Maria Puga, a woman whose husband was killed by border patrol agents as he attempted a crossing from Mexico. Mr. Sanders vowed that if elected, he will push for comprehensive immigration reform. He called a proposal by the presumptive Republican nominee, Donald J. Trump, to build a wall along the entire border both “immoral” and “impractical. ”",0
312,The shortest and most powerful explanation of Trump's victory I have ever seen,Zach Cartwright,"Zach Cartwright | November 11, 2016 
The Democrats’ staggeringly piss-poor performance Tuesday night resulting in Donald Trump’s victory can be summed up in one word: Turnout. 
Hillary Clinton would have won had she focused her message more on appealing to white, working-class voters in rust belt states like Iowa, Michigan, Ohio, Pennsylvania, and Wisconsin. As this New York Times map of the 2012 election shows, President Obama won all of those states in 2012. Obama also won roughly 2.6 million more votes than Hillary Clinton won in 2016. Donald Trump’s narrow margin of victory in the Electoral College was only possible by winning all of the aforementioned rust belt states . 
There was hardly any enthusiasm behind Hillary Clinton when examining exit poll results. In an analysis of Reuters/Ipsos exit polling, Times writer Sarah Jaffe found several revealing trends showing why Clinton was a poor choice for the Democrats in terms of motivating voters to get to the polls and cast their ballots for their party’s nominee: 
75 percent of respondents agreed “America needs a strong leader to take the country back from the rich and powerful.” Only slightly fewer agreed that “the American economy is rigged to advantage the rich and powerful,” and — perhaps the kicker — 68 percent believed that “traditional parties and politicians don’t care about people like me.” 
The numbers bear out that argument — Clinton’s turnout was lower than Obama’s turnout in both 2008 and 2012, even though she still won the popular vote this year. No matter how you slice it, Clinton wasn’t enough of a draw to make the difference, particularly in key states like Florida, North Carolina, Pennsylvania, and Wisconsin — states Obama won in 2012. As the Washington Post reported, three traditionally blue states Trump won in 2016 that Obama won in 2012 — Michigan, Pennsylvania, and Wisconsin — Clinton got between 5 and 15 percent fewer votes than Obama. 
The Democratic primaries were a harbinger of things to come in a general election matchup featuring Clinton and Trump. As US Uncut reported in March, Hillary Clinton’s victories in the March 1 Super Tuesday primaries all depended on voter turnout numbers lower than 2008 figures — the last time there was a contested Democratic primary. In all seven states Clinton won that day, each state had turnout anywhere between 4 percent and 50 percent lower than in 2008 . 
The data makes the argument all by itself. No amount of scapegoating heaped on Jill Stein supporters can explain Hillary Clinton losing traditional Democratic strongholds that Obama won not only once, but twice . In Detroit, Michigan, for example, Hillary Clinton got roughly 120,000 fewer votes than President Obama in 2012. Those votes made the difference in securing Trump’s victory, as Clinton lost Michigan by roughly half that number. 
Former Pennsylvania governor Ed Rendell — one of the most senior officials within the Democratic Party apparatus — argued in a radio interview that even though Hillary Clinton was beloved by Democratic Party leadership, Bernie Sanders would have likely prevailed among the white, working-class rust belt constituency specifically due to his anti-establishment message. 
“It would be interesting to think of how Bernie Sanders would’ve done. Bernie Sanders would’ve lost a few Republicans who voted for Hillary because of some of his economic views but he would’ve fought Donald pretty hard for those disaffected, angry, and frustrated workers,” Rendell said on 1210 WPHT in Philadelphia. 
Had the Democratic Party nominated a candidate more attuned to the mood of voters in one of the most anti-establishment elections in generations, turnout could have been much higher, and America would have averted Trump’s victory. 

Zach Cartwright is an activist and author from Richmond, Virginia. He enjoys writing about politics, government, and the media. Send him an email at [email protected] ",1
313,Russia Looks to Populate Its Far East. Wimps Need Not Apply. - The New York Times,Andrew Higgins,"  Russia  —   Standing ankle deep in mud in a swampy grassland more than 4, 000 miles from his home, Yuri A. Bugaev surveyed a   wasteland that the Russian government is offering to   pioneers under its own   version of the 1862 Homestead Act in the United States. “This is not really what I had in mind,” said Mr. Bugaev, who had traveled across seven time zones from St. Petersburg, Russia, to scout the possibilities for settlers in the country’s sparsely populated Far East, a territory roughly   the size of the United States. The nine Far Eastern regions targeted for settlement in the government’s land giveaway, which began on June 1, encompass more than a third of Russia but are home to only 6. 1 million people. This is just 4 percent of the country’s population and compares with the 110 million Chinese living across the border in the three provinces that make up Manchuria. Mr. Bugaev is a dedicated, if largely sedentary, Cossack, a   fraternity of Slavic warriors, freebooters and   rebels. A romantic throwback to earlier generations of Cossacks who settled and secured the borders of the Russian empire, he sees getting his Cossack brethren and other Russians to move out east as the only way to keep mostly empty Russian lands safe from China. For years, he said, he had dreamed of Russia embracing, or rather   the pioneer spirit, and he was delighted by the Kremlin’s backing of a program meant to reassert the country’s manifest destiny as a   power. All the same, he conceded that not many Russians living in the European side of Russia, who dream of a house in London or Paris, not a shack in a swamp near China, share his zeal for a new life in wild eastern regions that many associate with labor camps and convicts. “Most people these days don’t want an adventure,” he said. The Russian government, however, is intent on proving otherwise and on giving some substance to a command by President Vladimir V. Putin in 2013 that the development of Siberia and the Far East must be “our national priority for the entire 21st century. ” How to get people to settle in the Far East is a question that has preoccupied and confounded Russian rulers since the establishment of a Russian naval base on the Pacific Ocean at Okhotsk in the 17th century. Cossacks, convicts and desperate peasants have often been the only takers. In Communist times, labor camps, heavy investment in remote industrial sites and the construction of a second railroad across Siberia and the Far East revived the eastward flow of people. But this ended with the collapse of the Soviet Union in 1991, and residents began to drift away. A population of more than eight million dwindled by about two million. Russia’s Ministry for the Development of the Far East, the agency managing this latest development gambit, cited a survey it commissioned, saying that 20 percent of Russians would be ready to move east if given free land. Younger Russians, the ministry said, were even more enthusiastic, with more than 50 percent expressing an interest in heading east to take advantage of the offer  —   one free hectare, about two and a half acres, a person. But as often happens in Russia, grandiose hopes and plans have run far ahead of the reality on the ground, where bureaucrats, appalling weather and immense distances conspire to smother the Kremlin’s ambitions. “It is all pie in the sky,” said Vladimir V. Mishchenko, the head of the Khankaisky district, one of nine pilot areas chosen by Moscow to test the free land program. He complained that the whole thing had been dreamed up by people in Moscow who had no understanding of the Far East but needed to show the Kremlin that they were doing something. For the moment, the free land is restricted to small areas, like the Khankaisky area around   an isolated settlement north of Vladivostok, and is open only to Russians already living in the Far East. Starting in February, however, all Russian citizens can apply, and Mr. Bugaev wants to make sure he is ready to “help save Russia. ” At the start of his scouting mission, after a   flight to Vladivostok from Moscow, he found his hotel packed with Chinese, mostly tourists. Donning his Cossack fur hat, he declared his mission even more urgent than he had thought. He set off the next day for   to inspect the land on offer, driving for hours in torrential rain through sodden taiga and mostly empty villages. Undaunted, he said he thought there were enough hardy souls ready to join his organization, the Far Eastern Hectare Social Movement, a private outfit set up in St. Petersburg to drum up interest in the free land program and to organize new settlements. Its website explains that it is possible to be a pioneer without even leaving home, at least to start with. People can simply apply for free land and pool what they get so a larger plot can be developed by a few adventurous souls. If this works, those who contribute land but stay behind in St. Petersburg can move east later, after most of the hard work is done. “Virtually nobody wants to come out here right now,” Mr. Bugaev conceded, complaining that the available plots  —   about 12, 000 square yards a person  —   cannot possibly support sustainable agriculture or any other business venture. (American pioneers got more than 60 times that amount  —   160 acres  —   under the Homestead Act.) The Russian plan has been derided as a dreamy patriotic stunt cooked up by Kremlin image makers or a scam that will end up enriching officials, who have the right to take back the land after five years if they decide development targets have not been met. The Kremlin, however, has thrown its weight behind the program, set in motion this summer with a blitz of publicity on state news media presenting the Far East as an El Dorado of opportunity, and the start of a government website that allows citizens to view plots of land and make online applications. The official website went down as soon as it was unveiled, a mishap that Aleksei A. Navalny, the renowned anticorruption campaigner, said was probably a deliberate malfunction engineered by officials so they could grab the best land for themselves. Mr. Navalny, in a report last month, noted that coveted plots on the shore of a picturesque lake outside   had been snapped up by the time the website started working again. Yan P. Ovodenko, a local official, denied that the lakeside plots had all been taken. A more serious blow to Mr. Bugaev’s hopes was delivered by Mr. Mishchenko, the district head. While the area might look empty, he explained, nearly all the land is already owned or at least claimed by somebody. And even if Mr. Bugaev were to get allotted land, developing it would require cooperation from 22 different government agencies responsible for enforcing a thicket of rules and regulations. “The water code, you have to abide by it town planning code, you have to abide by it land code, you have to abide by it border area rules, you have to abide by them prescriptions of the Federal Service for Veterinary and Phytosanitary Surveillance, you have to abide by them forest regulation, you have to abide by it,” the district chief said. Of the 460 people who have applied since June 1, Mr. Mishchenko said, 390 have been rejected outright because they failed to provide the necessary information. In all, only four people, all from Vladivostok, have thus far secured plots. “For any meaningful agriculture, you need 5, 000 hectares to start off,” Mr. Mishchenko said. “And those lands don’t exist. They’ve been snapped up a long time ago. ” Undeterred by his initial finding in Khankaisky district, Mr. Bugaev pressed on. A Cossack leader in the regional administration in Vladivostok, Oleg Melnikov, assured him that the land giveaway was on track and faced no serious problems. A local company involved in agriculture also liked Mr. Bugaev’s plans for an updated version of collective farming and urged him to focus on trying to find people in St. Petersburg ready to apply for plots of land. “I think this will all work out,” Mr. Bugaev said, warily eyeing Chinese tourists crowded in the lobby of his Vladivostok hotel. “This is not just for adventure but to save Russia. ”",0
314,"The Johnson Amendment, Which Trump Vows to ‘Destroy,’ Explained - The New York Times",Jeremy W. Peters,"WASHINGTON  —   When President Trump told an audience of religious leaders on Thursday that he would ‘destroy’ the Johnson Amendment, he declared his intention to sign a bill that would fundamentally alter a major aspect of the   divide that has been a constant in American politics for generations. But what exactly is the Johnson Amendment? It is one of the brightest lines in the legal separation between religion and politics. Under the provision, which was made in 1954,   entities like churches and charitable organizations are unable to directly or indirectly participate in any political campaign on behalf of, or in opposition to, any candidate. Specifically, ministers are restricted from endorsing or opposing candidates from the pulpit. If they do, they risk losing their   status. Considered uncontroversial at the time, it was passed by a Republican Congress and signed into law by President Dwight D. Eisenhower, a Republican. Today, however, many Republicans want to repeal it. Back when Lyndon B. Johnson was a senator from Texas, he introduced the measure as an amendment to the tax code in 1954. Like many things Johnson did, the goal was to bludgeon a political opponent, in this case a rival in a primary who had the backing of nonprofit groups that were campaigning against him by suggesting he was a communist. Though there was no church involved, according to PolitiFact, churches were covered by the bill as well. Mr. Trump promised he would work to repeal the Johnson Amendment as part of his extensive outreach efforts to religious conservatives, a group that took a long time to warm to his candidacy. Eliminating the measure has been a goal of the right. Conservatives have argued that it violates the protections of free speech and free exercise that the First Amendment extends to houses of worship. Courts have not agreed. Speaking of the implications of a repeal last year, Jerry Falwell Jr. the prominent evangelical leader and Trump supporter, said it would “create a huge revolution for conservative Christians and for free speech. ”",0
315,Donald Trump to March for Life: ‘You Have My Full Support!’,Charlie Spiering,"President Donald Trump signaled his support for   activists attending the March for Life on Friday. [“The #MarchForLife is so important,” he wrote on Twitter. “To all of you marching  —   you have my full support!”  The President confirmed that Vice President Mike Pence will speak at the   event. According to organizers, Pence is speaking around noon. Trump set big expectations for the March for Life during an interview with ABC’s David Muir when asked to compare possible crowd size to that of last week’s Women’s March on Washington: “You will have a large crowd on Friday, too, which is mostly   people, too, and I didn’t realize this, but I was told. You will have a very large crowd of people —  as large or larger, Trump said. Some people said it will be larger —    people, and they say the press doesn’t cover them.",0
316,"Police Official Found Dead on Long Island, and Suicide Is Suspected - The New York Times",Rick Rojas and J. David Goodman,"A New York City police official was found dead on Friday in a car on Long Island, where he is believed to have shot himself, the authorities said. The official, Inspector Michael Ameri, the commanding officer of the Police Department’s Highway District, was found in Suffolk County with what appeared to be a   gunshot wound, Stephen P. Davis, the department’s top spokesman, said in a statement. The authorities in Suffolk County said detectives were investigating a death that was reported shortly before 1 p. m. in Babylon. Inspector Ameri, 44, was a friend of Deputy Inspector James Grant, the commander of the 19th Precinct on the Upper East Side of Manhattan, who had been reassigned as part of a wave of discipline amid a sprawling federal inquiry into municipal corruption in New York. Inspector Grant was placed on modified duty last month. There has been no indication that Inspector Ameri was under investigation. It was unclear whether investigators were seeking Inspector Ameri’s cooperation with their inquiry focused on Inspector Grant. Mr. Davis declined to comment on the investigation. “We’ve consistently said this is an ongoing investigation and we would not comment whatsoever,” he said. A law enforcement official said that as of Friday, Inspector Ameri’s duty status had not changed. On Friday evening, police cars were parked in front of Inspector Ameri’s home in West Babylon. Inspector Ameri was the commanding officer of the 78th Precinct in Prospect Heights, Brooklyn, from 2011 to July 2014, when he left to lead the Highway District. “We are saddened to learn of the passing of Inspector Michael Ameri,” Mayor Bill de Blasio said in a statement. “Our thoughts and prayers are with his family during this difficult time. ” City Hall officials said that Mr. de Blasio knew Inspector Ameri in passing from the time when the inspector was commander of the 78th Precinct. Roy T. Richter, the president of the union that represents police captains, inspectors and deputy chiefs, said the group was “heartbroken” by Inspector Ameri’s death and asked “that you keep his family in your prayers during this traumatic time. ” “Inspector Ameri is known as a dedicated police officer who excelled in all of his command assignments,” he said.",0
317,"Life: If You Love Enamel Pins, You’ll Love This Etsy Shop, And If You Don’t Care About Enamel Pins, You’ll Explode Over This Picture Of A Bulldog Puppy, And If That Doesn’t Do It For You, You’ll Lose Your Shit Over This Amazing-Looking Pizza, And If You Don’t, We’ll Find Something For You",nan,"Email If you can’t get enough enamel pins, then it’s time to start freaking out, because this Etsy shop is all about them. With hundreds of unique designs for you to mix and match, it’s easy to get lost in this enamel fan’s wonderland. Check it out: Or maybe enamel isn’t for you. Not a problem. Forget about the pins, in that case, and get ready to explode the moment you see this little guy: A ! He’s a bulldog puppy, he’s 2 months old—oh, and did we mention he has the most adorable face anyone has ever seen? Bulldog isn’t doing the trick? Hey, that’s totally okay! Let’s move on. Here’s an incredible pizza. And here’s a grilled cheese you need in your belly ASAP. We have collected it for you. It is here to annihilate your mind. How’s that? Are you now slobbering uncontrollably from the food? Has the food melted you to a quivering puddle of yes? If not, keep scrolling, because we’re just getting started. We will find just the thing. What about this diabolical optical illusion that is going to destroy your mind. Total brain collapse in three…two…one… Did that work? Surely you have lost it and you can’t even handle it and you love it so much it is so you. No? Fine…What else…Perhaps this is the thing that will wreck you at last: a badass vintage car. Go ahead and flip out: Still nothing? You are not yet blowing up with joy? Okay. Don’t worry. The GIF of the dog who is trapped in the toilet will now transform your body into rubble: Jesus. Let’s go back to the enamel store for a sec, maybe we scooted off it too quickly. It really is a great store. Hard enamel. Soft enamel. Lapel pins. Regular old pin-pins. If you like enamel AT ALL then it should only take one look at this set of OMG-worthy pins and you’ll be out of control with joy: What?? What do you want from us? What do you need? We will collect it here. You crave Bill Murray in public? Here is Bill Murray in public: Beautiful pic of biggest waterfall? There. It is done. Look. Look at these things. There must be",1
318,Nevada: Rep. Election Workers Intimidated,nan,"Nevada: Rep. Election Workers Intimidated November 08, 2016 Myla Gibson, 3, waits as her father Ken Gibson fills out a ballot for the presidential election at the James Weldon Johnson school in East Harlem, 
Republican volunteers called 911 claiming Clinton supporters were Harassing them. 
Volunteers canvassing and dropping off literature at houses Monday for Nevada Republican senate candidate Rep. Joe Heck were followed by supporters of Hillary Clinton, who then subsequently pulled down the literature, a source within the Nevada Republican Party told The Daily Caller in an exclusive report. The staffers following them were wearing HRC buttons and HRC stickers. Beyond following them, the HRC workers began going up to houses and illegally removing Heck literature from the doors,” the Nevada GOP source said. “When the Heck volunteers noticed this going on, they stopped to take pictures of the illegal action.” The source said that, “Within a few minutes, more HRC campaign workers showed up. At this point, the Heck volunteers began to feel threatened and called 911 to report HRC workers illegally removing campaign literature and harassing the Heck volunteers.” 
Reports like the case in Nevada may seem minor to some, but those that have been called to pray over this election know that it only confirms the need for prayer. The kind of anger and even violence that can manifest during and after elections is something to be taken seriously. We have seen violence erupt during elections in other countries, and it certainly isn't something we want to see in the United States. The call is to pray without ceasing Church! 
Article by The Daily Caller / TRUNEWS analysis. 
Article by , Correspondent for TRUNEWS Got a news tip? Email us at Help support the ministry of TRUNEWS with your one-time or monthly gift of financial support. DONATE NOW ! DOWNLOAD THE TRUNEWS MOBILE APP! CLICK HERE! Donate Today! Support TRUNEWS to help build a global news network that provides a credible source for world news 
We believe Christians need and deserve their own global news network to keep the worldwide Church informed, and to offer Christians a positive alternative to the anti-Christian bigotry of the mainstream news media Top Stories",1
319,"Radical Changes Are In Store For The World And Global Markets, Are You Ready?",King World News,"79   GOLD , KWN King World News 
On the heels of continued chaos in key markets, radical changes are in store for the world and global markets. 
Radical Changes Are Coming On the heels of the release of his KWN audio interview covering the gold smash and urging investors to remain strong, KWN did a follow-up interview with Dr. Leeb because of the intensity of the recent takedown in gold, silver, and the mining shares: “If you’re worried that gold’s post-election drop means the bull market in the metal that we’ve been predicting is a mirage, relax. The current dip in gold, while it could last a month or two longer, is merely a slight head fake in a bull market more on course than ever to be of momentous proportions… IMPORTANT: To hear which legend just spoke with KWN about $8,000 gold and the coming mania in the gold, silver, and mining shares markets CLICK HERE OR ON THE IMAGE BELOW. 
If we had to sum it up in a single (albeit long) sentence, here it is: Trump’s victory and the market’s subsequent turbulence signals a seismic shift in market leadership to commodity-led growth; U.S. imports of increasingly scarce and ever more costly commodities will rise drastically and so will inflation that a behind-the-curve Fed will be helpless to curb; the eventual, inevitable upshot will be that commodity producers will become increasingly reluctant to take paper money for their ever scarcer resources and will want some more durable asset like, you guessed it, gold. 
That’s the case for gold in broad outline. Now for the supporting evidence. 
Let’s start with the reality that the U.S. has been blindly complacent about commodities, which will be required in massive amounts for the big infrastructure push Trump has promised. The U.S. Geological Survey tracks around 65 vital commodities and minerals. For over 40 of them we import more than half our needs; for 25 (about 40 percent), we import at least 90 percent of our needs. We used to be far less dependent on other nations. At the beginning of this century we imported 90 percent or more of our needs for only a quarter of important commodities and imported 50 percent or more for about half. 
If you wonder why that’s a big deal, the problem is that those resources will be increasingly difficult and costly to obtain as they become scarcer. And scarcities are inevitable – in fact, they’ve begun. The chart of the index of raw industrials, the prices businesses pay in real time for the commodities they use (as opposed to futures trading) is revealing. Remarkably, it shows that even at the nadir of the Great Recession, when capitalism’s very existence seemed precarious, the index stood 20 percent higher than its average during the 1990s. There is no way to explain this other than by realizing that commodities had become scarcer than in the previous decade. 
Since the 2008 crash, global growth has been strong only in 2010 and the first half of 2011. In this period, the index far surpassed its 2008 high. After 2011, world growth retreated to recessionary levels until mid-2016, when just a hint of growth sent commodities almost to their pre-Great Recession peak. Now with commodity-intensive infrastructure a worldwide imperative, they are destined to go well past their all-time highs. 
But What About Gold? So why hasn’t gold gotten the message yet? One reason is that with gold rightfully seen more as a currency than a commodity, and with inflation still low, the market has some illusions that perhaps we’re going back to the 1990s Goldilocks era of strong growth and low inflation. But the emergence of commodity scarcities will nix that possibility. 
The only reason the markets haven’t already caught on is one recalcitrant commodity: oil. With oil prices lagging, headline inflation has remained low and the Fed still behaves as if it will remain low forever. But once oil gets into the act, headline inflation will jump and everything that requires oil – including virtually every other commodity – will jump as well. 
Here is a look at a few key reasons why oil will rise. Right now, with virtually every producer producing at full throttle, oil is about 750,000 barrels a day in oversupply. That will change either because OPEC at its meeting later this month acts to cut production or because increased demand overtakes the world’s ability to produce. Above is a sign from the 1970s warning consumers about gas shortages 
OPEC Will Move To Raise Oil Prices We think OPEC will act, and it won’t have to cut by much to reverse the current situation of oversupply. OPEC currently produces about 34 million barrels a day, a record amount, and is estimated to have no more than about 1 million barrels of excess supply – and even that could be overstating it. Over the past five years the cartel’s production has averaged about 31 million barrels a day. At its peak in 2015 it was producing less than 33 million barrels. Even returning to that previous peak would easily turn a glut into a deficit. 
And with the IEA estimating demand in 2017 will grow by 1.2 million barrels a day – likely an underestimate in light of the push for infrastructure – it’s hard to avoid the conclusion that we’re headed for an oil deficit. That means big-time gains in oil prices and in inflation. If you think fracking will fill the gap, it won’t. Even with three-digit oil, frackers will find it tough to add even half a million barrels of oil to current production. Remember, fracking is resource-intensive, so its costs rise when commodity prices go up – and much of the recent gains in fracking productivity come from vast increases in the amount of sand and water used to frack the wells. 
Gold Liftoff! Once oil joins the party, all the commodity pieces will be in place for gold to take off. Remember, gold was far stronger than industrial commodities during the 2001 to 2008 boom and again during the second commodity upleg between 2009 and 2011. 
As for the Fed, we don’t expect it to take a strong stand against inflation, not with a Trump administration that has little fear of debt and that will likely view even high inflation as better for business than slow or even negative growth. Protracted slow growth has fractured America and the world, and the 1970’s high inflation harmed Wall Street. Not much of a choice for a populist administration. 
Bottom line: the world has taken another giant leap to a future with little place for paper currencies and in which gold will become the monetary center. So stop worrying about gold’s current weakness and buy gold, which will be by far your best protection in a tumultuous future. While commodities and commodity-levered stocks will lead the market for the foreseeable future, gold (and other precious metals) will end up winning the race…As mentioned in the opener, KWN also released a completely separate audio interview today with Dr. Leeb covering the takedown in the gold and silver markets. T o listen to the extraordinarily powerful audio interview where Dr. Leeb urged investors to stay strong ahead of what he predicted “is going to be the greatest bull market of anybody’s lifetime that’s alive today ” CLICK HERE OR ON THE IMAGE BELOW. 
***ALSO JUST RELEASED: Did This Just Signal A Major Bottom In Gold & Silver? CLCK HERE. 
© 2015 by King World News®. All Rights Reserved. This material may not be published, broadcast, rewritten, or redistributed. However, linking directly to the articles is permitted and encouraged. About author",1
